Lyrics,Song
wed alright,Stay Still
oh lord dont tell happening,Stay Still
could hold second,Stay Still
start getting better,Stay Still
far home,Stay Still
lights fading,Stay Still
leave behind,Stay Still
oh never let go,Stay Still
take,Stay Still
im dying,Stay Still
know im one,Stay Still
dont tell happening,Stay Still
heres shot dark,Feeling Low
chance shouldnt take,Feeling Low
dive dont let sink,Feeling Low
could remedy,Feeling Low
one dose im sight,Feeling Low
could drug trapped mind,Feeling Low
go,Feeling Low
tell im worth dying,Feeling Low
things promising,Feeling Low
give put,Feeling Low
lose grip reach,Feeling Low
dont believe see,Feeling Low
things never know,Feeling Low
keeps keeps feeling low,Feeling Low
stitch pulled apart,Feeling Low
told best mistake,Feeling Low
taking grave,Feeling Low
dont know start,Feeling Low
tell,Feeling Low
taking way far,Feeling Low
please tell,Feeling Low
im shot dark,Feeling Low
something want,Feeling Low
something need,Feeling Low
keeps low,Feeling Low
tell,"I’m Bad News, In The Best Way"
think found lost,"I’m Bad News, In The Best Way"
hope fading,"I’m Bad News, In The Best Way"
say make feel,"I’m Bad News, In The Best Way"
voice could take,"I’m Bad News, In The Best Way"
dont let darkness surround,"I’m Bad News, In The Best Way"
lift ill let,"I’m Bad News, In The Best Way"
said im sorry wont forget past regrets,"I’m Bad News, In The Best Way"
thats,"I’m Bad News, In The Best Way"
said im sorry youre one past gone,"I’m Bad News, In The Best Way"
thats losing,"I’m Bad News, In The Best Way"
thats im losing,"I’m Bad News, In The Best Way"
please take home please take home,"I’m Bad News, In The Best Way"
please take home stay tonight,"I’m Bad News, In The Best Way"
please take home im losing,"I’m Bad News, In The Best Way"
said one,"I’m Bad News, In The Best Way"
watching empire fall,You Wear a Crown but You’re No King
youll never stop till get want,You Wear a Crown but You’re No King
think control tried take mine,You Wear a Crown but You’re No King
wont leave till get want,You Wear a Crown but You’re No King
bending breaking oh,You Wear a Crown but You’re No King
watching ashes fall,You Wear a Crown but You’re No King
ever cross mind,You Wear a Crown but You’re No King
im man youll never,You Wear a Crown but You’re No King
think youre alone,You Wear a Crown but You’re No King
without someone love,You Wear a Crown but You’re No King
gon na last one standing,You Wear a Crown but You’re No King
